katedra,zkratka,garanti,garantiUcitIdno,prednasejici,prednasejiciUcitIdno
KBI,K201,"'RNDr. Jan Ipser, CSc.'",930,"",
KMA,K206,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KMA,K213,"'RNDr. Martin Kuřil, Ph.D.'",264,"'Mgr. Gabriel Kádek', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","9489,5205"
KFY,K213,"'RNDr. Jiří Králík, Ph.D.'",303,"'RNDr. Jiří Králík, Ph.D.', 'RNDr. Martin Švec, Ph.D.'","303,613"
KMA,K214,"'PhDr. Jiří Přibyl, Ph.D.'",267,"'doc. PaedDr. Petr Eisenmann, CSc.', 'Mgr. Lucie Loukotová'","261,3188"
KFY,K215,"'doc. RNDr. Marek Malý, Ph.D.'",304,"'Mgr. Martin Svoboda, Ph.D.'",5958
KMA,K215,"'RNDr. Martin Kuřil, Ph.D.'",264,"'RNDr. Martin Kuřil, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","264,267"
KCH,K301,"'doc. Ing. Jan Čermák, CSc.'",1064,"'doc. Ing. Jan Čermák, CSc.', 'RNDr. Thu Huong Nguyen Thi, Ph.D.'","1064,429"
KMA,K301,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","261,5205"
KBI,K301,"'prof. doc. RNDr. Milan Gryndler, CSc.', 'RNDr. Lenka Němcová, CSc.'","3661,283","'prof. doc. RNDr. Milan Gryndler, CSc.'",3661
KFY,K304,"'Mgr. Pavla Hofmanová', 'prof. RNDr. Jan Malý, DrSc.'","263,1537","'prof. RNDr. Jan Malý, DrSc.'",1537
KFY,K305,"'RNDr. Zdeněk Moravec, Ph.D.'",79,"'doc. RNDr. Ing. Kurt Fišer, CSc.', 'RNDr. Zdeněk Moravec, Ph.D.'","606,79"
KMA,K306,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'",8035,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.', 'Mgr. Alena Černíková, MSc., Ph.D.'","8035,9488"
KMA,K312,"'PhDr. Jiří Přibyl, Ph.D.'",267,"'RNDr. Lenka Juklová, Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","8748,267"
KFY,K319,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'doc. RNDr. Filip Moučka, Ph.D.', 'doc. RNDr. Michal Varady, Ph.D.'","3222,615"
KMA,K401,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KCH,K401,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'prof. RNDr. Ivo Nezbeda, DrSc.', 'Ing. Magda Škvorová, Ph.D.'","305,2856"
KCH,K404,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'doc. RNDr. Jan Jirsák, Ph.D.', 'prof. RNDr. Ivo Nezbeda, DrSc.', 'Ing. Magda Škvorová, Ph.D.'","2855,305,2856"
KBI,K410,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Markéta Gloneková, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","8526,279"
KMA,K413,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'",8035,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.', 'Mgr. Jiří Rozkovec'","8035,8677"
KCH,K501,"'doc. RNDr. Vlastimil Dohnal, Ph.D.', 'RNDr. Ľuboš Vrtoch, PhD., Ph.D.'","2227,4117","'doc. RNDr. Vlastimil Dohnal, Ph.D.', 'RNDr. Milan Šmídl, Ph.D.', 'RNDr. Ľuboš Vrtoch, PhD., Ph.D.'","2227,3704,4117"
KBI,K502,"'Ing. Stanislav Vinopal, Ph.D.'",8024,"'Mgr. Marian Rupert', 'Ing. Stanislav Vinopal, Ph.D.'","5275,8024"
KFY,K502,"",,"'doc. RNDr. Filip Moučka, Ph.D.', 'prof. RNDr. Ivo Nezbeda, DrSc.'","3222,305"
KBI,K506,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KMA,K512,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'",8035,"'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.', 'Mgr. Lucie Loukotová', 'Mgr. Bc. Lukáš Tichý'","8035,3188,8750"
KFY,K513,"'prof. Ing. Martin Lísal, DSc.'",609,"'prof. Ing. Martin Lísal, DSc.', 'Mgr. Martin Svoboda, Ph.D.'","609,5958"
KBI,K607,"'RNDr. Jan Ipser, CSc.'",930,"",
KBI,K608,"'Mgr. Jan Malý, Ph.D.'",280,"'Mgr. Jan Malý, Ph.D.', 'Mgr. Olga Šebestová Janoušková, Ph.D.'","280,8512"
KMA,K609,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'Mgr. Lucie Loukotová'","261,3188"
KFY,K620,"'doc. Ing. Martin Kormunda, Ph.D.'",2384,"'doc. RNDr. Jaroslav Pavlík, CSc.'",308
KCH,K624,"'doc. Ing. Jaromír Havlica, Ph.D.'",1803,"'doc. Ing. Jaromír Havlica, Ph.D.', 'Mgr. David Kramoliš, Ph.D.'","1803,7723"
KBI,KB103,"",,"'Mgr. Lukáš Bystrianský, Ph.D.'",5969
KBI,KB122,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"'Mgr. Michaela Liegertová, Ph.D.', 'Mgr. Marian Rupert'","4472,5275"
KBI,KB219,"'doc. RNDr. Karel Kubát, CSc.'",279,"'Ing. Handrij Härtel, Ph.D.', 'doc. RNDr. Karel Kubát, CSc.'","4265,279"
KBI,KB221,"'prof. doc. RNDr. Milan Gryndler, CSc.'",3661,"'Mgr. Lukáš Bystrianský, Ph.D.', 'prof. doc. RNDr. Milan Gryndler, CSc.', 'RNDr. Lenka Němcová, CSc.'","5969,3661,283"
KBI,KB302,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.'","8018,278"
KBI,KB333,"'RNDr. Jan Bobek, Ph.D.'",5094,"'RNDr. Jan Bobek, Ph.D.', 'RNDr. Jan Ipser, CSc.'","5094,930"
KBI,KB423,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
CNB,KB502,"'Ing. Stanislav Vinopal, Ph.D.'",8024,"'doc. MUDr. Vladislav Mareš, DrSc.', 'Mgr. Marian Rupert', 'Ing. Stanislav Vinopal, Ph.D.'","281,5275,8024"
KBI,KB618,"",,"'RNDr. Jan Ipser, CSc.'",930
KI,KBIG,"'Mgr. Jiří Fišer, Ph.D.'",251,"'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'Ing. Václav Valenta'","251,650,4195"
KMA,KCA2,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KMA,KCAL2,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8438,5205"
KMA,KCAL3,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'doc. RNDr. Bohumír Opic, DrSc.'","8987,8438"
KMA,KCAS,"'Mgr. Alena Černíková, MSc., Ph.D.'",9488,"'Mgr. Alena Černíková, MSc., Ph.D.', 'doc. Ing. Jaroslav Sixta, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.', 'Ing. Ondřej Vozár'","9488,4533,2220,9304"
KI,KDIB,"'RNDr. Jan Krejčí, Ph.D.'",2776,"'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.'","2776,3521"
KI,KDINB,"'RNDr. Jan Krejčí, Ph.D.'",2776,"'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.'","2776,3521"
KMA,KDM1,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'PhDr. Magdalena Krátká, Ph.D.'",425
KMA,KDM2,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'PhDr. Magdalena Krátká, Ph.D.'","261,425"
KMA,KDM3,"'doc. PaedDr. Petr Eisenmann, CSc.'",261,"'doc. PaedDr. Petr Eisenmann, CSc.', 'PhDr. Magdalena Krátká, Ph.D.'","261,425"
KFY,KFYZ,"'prof. RNDr. Ivo Nezbeda, DrSc.'",305,"'prof. RNDr. Ivo Nezbeda, DrSc.', 'RNDr. Martin Švec, Ph.D.'","305,613"
KI,KGUI,"'RNDr. Petr Kubera, Ph.D.'",650,"'Ing. Mgr. Pavel Beránek', 'RNDr. Petr Kubera, Ph.D.'","6973,650"
KMA,KLAG,"'RNDr. Martin Kuřil, Ph.D.'",264,"'PhDr. Magdalena Krátká, Ph.D.', 'RNDr. Martin Kuřil, Ph.D.'","425,264"
KMA,KLAL,"'RNDr. Martin Kuřil, Ph.D.'",264,"'PhDr. Magdalena Krátká, Ph.D.', 'RNDr. Martin Kuřil, Ph.D.'","425,264"
KMA,KMA3,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. RNDr. Bohumír Opic, DrSc.'",8438
KMA,KMADI,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","8987,5205"
KFY,KMECH,"'Mgr. Jindřich Matoušek, Ph.D.'",4680,"'RNDr. Martin Švec, Ph.D.'",613
KMA,KMT1,"'RNDr. Veronika Pitrová, PhD., Ph.D.'",5205,"'doc. PaedDr. Petr Eisenmann, CSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.'","261,5205"
KMA,KMU1,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. RNDr. Bohumír Opic, DrSc.', 'RNDr. Veronika Pitrová, PhD., Ph.D.', 'PhDr. Jiří Přibyl, Ph.D.'","8438,5205,267"
KMA,KMU2,"'doc. Yaroslav Bazaykin, CSc., DSc.'",8987,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'doc. PhDr. Mgr. Ing. Martin Boďa, PhD.'","8987,8035"
KMA,KMU3,"'doc. RNDr. Bohumír Opic, DrSc.'",8438,"'doc. Yaroslav Bazaykin, CSc., DSc.', 'RNDr. Martin Kuřil, Ph.D.', 'doc. RNDr. Bohumír Opic, DrSc.'","8987,264,8438"
KBI,KN100,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KBI,KN102,"'doc. RNDr. Jaromír Hajer, CSc.'",278,"'Mgr. Michaela Czerneková, Ph.D.', 'doc. RNDr. Jaromír Hajer, CSc.', 'Mgr. Michal Holec, Ph.D.'","8018,278,555"
KCH,KN117,"",,"'RNDr. Václav Šícha, Ph.D.'",4310
KCH,KN118,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KBI,KN201,"'Mgr. Michaela Liegertová, Ph.D.'",4472,"'RNDr. Jan Ipser, CSc.', 'Mgr. Michaela Liegertová, Ph.D.'","930,4472"
KCH,KN228,"'doc. Ing. Josef Trögl, Ph.D.'",2065,"'RNDr. Thu Huong Nguyen Thi, Ph.D.', 'doc. Ing. Josef Trögl, Ph.D.'","429,2065"
KCH,KN230,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KBI,KN300,"'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'",2939,"'RNDr. Jan Ipser, CSc.', 'doc. RNDr. Eva Jozífková, Ph.D. et Ph.D.'","930,2939"
KCH,KN324,"'doc. RNDr. Jan Jirsák, Ph.D.'",2855,"'doc. RNDr. Jan Jirsák, Ph.D.', 'Ing. Magda Škvorová, Ph.D.'","2855,2856"
KCH,KN325,"'RNDr. Milan Šmídl, Ph.D.'",3704,"'Mgr. Monika Pelikánová', 'RNDr. Milan Šmídl, Ph.D.'","8744,3704"
KI,KOOD,"'RNDr. Petr Kubera, Ph.D.'",650,"",
KI,KOPR,"'RNDr. Petr Kubera, Ph.D.'",650,"'RNDr. Petr Kubera, Ph.D.', 'Dr. Hossein Moosaei, Ph.D.'","650,9114"
