katedra,zkratka,nazev
KGEO,0147,Monitor. vybr. prvků atmosf a hydrosf. I
KGEO,0148,Monitor. vybr. prvků atmosf a hydrosf II
KGEO,0157,Peer-support v geografii
KGEO,0163,Vybrané kapitoly z politické geografie
KGEO,B407,Evropské fondy a mezinárodní spolupráce
KGEO,B419,Monitor. vyb. prvků atmosf.a hydrosf. II
KGEO,B500,"Regionální exkurze - Česko, příhraničí"
KGEO,E301,Cultural Geography
KGEO,M206,Didaktika geografie II
KGEO,M207,Didaktika terénních cvičení
KGEO,M212,Přírodní hazardy a rizika
KGEO,M219,Terénní cvičení ze SG
KGEO,M408,Příprava k SZZ a obhajobě DP
KGEO,PD107,Geospatial data: sources and analysis
KGEO,PD300,Publication in non-indexed journal I
KGEO,PD302,Other rewiewed publication I
KCH,BK218,Struktura atomů a molekul
KCH,BK302,Laboratorní cvičení z fyzikální chemie
KCH,BK322,Laboratorní cvičení z analytické chemie
KCH,B215,Seminář z organické chemie
KCH,B225,ICT ve výuce chemie
KCH,B303,Průmyslová chemie
KCH,KN30,Biochemická cvičení
KCH,KN35,Souvislá pedagogická praxe II - SŠ
KCH,KN37,Organická chemie Nmgr.
KCH,K210,Cvičení z chemie
KCH,K302,Chemická informatika
KCH,N021,Eliminace polutantů z fluidních systémů
KCH,N023,Biochemie cizorodých látek
KCH,N024,Klinická analýza
KCH,N110,Průběžná pedagogická praxe - ZŠ
KCH,N417,Souvislá pedagogická praxe II - ZŠ
KCH,PD01,Toxikologie nanomateriálů
KCH,PD09,Organické syntézy
KCH,PD11,Chování kapalin v nanorozměrech
KCH,P301,Organická chemie
KCH,P309,Chemie II
KCH,P317,Chemická analýza
KCH,P425,VK - Instrumentální metody II
KCH,P426,Organ. chemie význ. skupin tox. látek
KCH,P516,Heterocyklické a organokovové sloučeniny
KCH,P627,Bakalářské práce
KCH,0900,Svobodný software v přírodních vědách
KCH,BK219,Toxikologické databáze
KCH,B108,Zásady odborné prezentace
KCH,B207,Instrumentální analýza
KCH,B212,Analytická chemie životního prostředí
KCH,B312,Toxikologie a legislativa ČR a EU 2
KCH,B314,Strukturní analýza organických sloučenin
KCH,B321,Odborná praxe
KCH,EXK,Exkurze B
KCH,KN23,Didaktika chemie II - ZŠ
KCH,KN41,Souborný seminář
KCH,K601,Instrumentální metody
KCH,M206,Thesis Progress Seminar II
KCH,N232,Instrumentální metody
KCH,N414,Souborný seminář
KCH,PD06,Struktura a vlastnosti polymerů
KCH,P214,Úvod do teorie měření
KCH,P404,Preparativní organická chemie
KCH,P414,Technologie ochrany životního prostředí
KCH,P427,Toxikologie
KCH,P429,Laboratorní cvičení z organické chemie
KI,AHW,Praktické aplikace hardwaru
KI,DI3,Didaktika informatiky III
KI,DSY,Databázové systémy
KI,EPCA,Computer Architecture
KI,EROB,Use of Robot Kits
KI,ESEC,Security Technologies
KI,KAIIT,Architektura a infrastruktura IT
KI,KAIT,Architektura a infrastruktura IT
KI,KDIS,Dependabilita informačních systémů
KI,KMIS,Podnikový management a IS
KI,KPIN,Programování pro Internet
KI,KPVS,Projektové výzvy a strategie v IT
KI,NOP,Odborná praxe
KI,NSQL,NoSQL databázové systémy
KI,PTZI,Praktikum z teor. zákl. informatiky
KI,SPL,Speciální programovací jazyky
KI,SZZBP,Aplikovaná informatika B
KI,YRDB,Relační databáze
KI,ZICT,Základy ICT
KI,0054,Programování ve VBA
KI,0131,Manažerský excel
KI,0144,Petriho sítě
KI,0148,VK - Programování v Pythonu
KI,0166,Praxe ve firmě B
KI,0173,Základy neuronových sítí
KI,0193,Základy tvorby webových stránek
KI,0195,Základy tvorby webových stránek A
KI,0201,DMS a nástroje pro týmovou spolupráci
KI,0205,Softwarové inženýrství
KI,APOPT,Optimization in Practice
KI,CSY,Číslicové systémy
KI,DSHS,Dependabilita SW a HW systémů
KI,EAPR2,Algorithms and Programming II
KI,EDHW,Dependability of Hardware Systems
KI,EPCA,Computer Architecture
KI,KABS,Aplikace Bayesovských sítí
KI,KCRS,Mod. met. zpracování čas. řad a sekvencí
KI,KDSW,Dependabilita softwarových systémů
KI,KPGUI,Programování - graf. uživatel. rozhraní
KI,KPHW2,Programování hardwaru II
KI,KPPS,Praktika počítačových sítí
KI,KRY,Základy kryptologie
KI,KUTR,Úvod do teorie řízení
KI,POS,Principy operačních systémů
KI,PREP,Prezentace projektu
