katedra,zkratka,idno,typAkceZkr,rok,datumOd,datumDo,hodinaSkutOd,hodinaSkutDo,identifier,katedra_right,nazev,seminarici,seminariciUcitIdno,jmena
KI,KZPS,2776,Se,2023,25.11.2023,25.11.2023,13:00,13:50,KZPSKI,KI,Základy počítačových sítí a protokolů,"",,"Krejčí Jan, RNDr. Ph.D."
KCH,N231,4226,Se,2023,28.3.2024,28.3.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,29.2.2024,29.2.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,25.4.2024,25.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,18.4.2024,18.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,4.4.2024,4.4.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KCH,N231,4226,Se,2023,7.3.2024,7.3.2024,13:00,14:50,N231KCH,KCH,Seminář k diplomové práci A,"'doc. Ing. Jan Čermák, CSc.'",1064,"Kadlečková Ivana, Ing."
KFY,NADS1,2384,Se,2023,2.10.2023,18.12.2023,10:00,10:50,NADS1KFY,KFY,Diplomový seminář I,"'prof. RNDr. Pavla Čapková, DrSc.'",3553,"Kormunda Martin, doc. Ing. Ph.D."
KI,OSIT,6973,Se,2023,1.3.2024,10.5.2024,16:00,17:50,OSITKI,KI,Odborný seminář IT,"'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'doc. RNDr. Mgr. Viktor Maškov, DrSc.', 'RNDr. Jiří Škvor, Ph.D.'","251, 2776, 2239, 2220","Beránek Pavel, Ing. Mgr."
KI,PAP,9292,Se,2023,5.3.2024,14.5.2024,15:00,16:50,PAPKI,KI,Průmyslová automatizace v praxi,"",,
KFY,PPP,301,Se,2023,6.10.2023,22.12.2023,09:00,11:50,PPPKFY,KFY,Průběžná pedagogická praxe,"'RNDr. Jiří Králík, Ph.D.'",303,"Hejnová Eva, RNDr. Ph.D."
KI,PS1,6973,Se,2023,5.10.2023,4.1.2024,18:00,18:50,PS1KI,KI,Projektový seminář I,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Beránek Pavel, Ing. Mgr."
KI,PS2,251,Se,2023,1.3.2024,26.4.2024,12:00,12:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Fišer Jiří, Mgr. Ph.D."
KI,PS2,6259,Se,2023,23.2.2024,17.5.2024,12:00,13:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Škvára Jiří, RNDr. Ph.D."
KI,PS2,251,Se,2023,23.2.2024,17.5.2024,12:00,13:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Fišer Jiří, Mgr. Ph.D."
KI,PS2,6259,Se,2023,1.3.2024,26.4.2024,12:00,12:50,PS2KI,KI,Projektový seminář II,"'RNDr. Jiří Škvor, Ph.D.'",2220,"Škvára Jiří, RNDr. Ph.D."
KGEO,PSPP,6384,Se,2023,20.2.2024,14.5.2024,09:00,09:50,PSPPKGEO,KGEO,Přípravný seminář k pedagogické praxi,"",,"Trahorsch Petr, Mgr. Ph.D."
KBI,RSPP,8952,Se,2023,23.2.2024,17.5.2024,13:00,14:50,RSPPKBI,KBI,Reflektivní seminář pedagogické praxe,"'PaedDr. Milan Kubiatko, PhD.'",8021,"Svobodová Silvie, PhDr. Ing. Ph.D."
KI,SBP1,2220,Se,2023,5.10.2023,4.1.2024,17:00,17:50,SBP1KI,KI,Seminář k bakalářské práci I,"'Mgr. Jiří Fišer, Ph.D.'",251,"Škvor Jiří, RNDr. Ph.D."
KI,SP2,6259,Se,2023,23.2.2024,17.5.2024,16:00,18:50,SP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
KI,SP2,6259,Se,2023,22.2.2024,16.5.2024,09:00,11:50,SP2KI,KI,Semestrální projekt II,"'doc. Ing. Mgr. Jiří Barilla, CSc.', 'Mgr. Jiří Fišer, Ph.D.', 'RNDr. Jan Krejčí, Ph.D.', 'RNDr. Petr Kubera, Ph.D.', 'doc. RNDr. Zbyšek Posel, Ph.D.', 'RNDr. Jiří Škvor, Ph.D.'","449, 251, 2776, 650, 3521, 2220","Škvára Jiří, RNDr. Ph.D."
