nazev,zkratka,cviciciUcitIdno,jmena
Obecná parazitologie,P323,1546,'Mgr. Karina Vašinová Ph.D.'
Biologie parazitů,N032,1546,'Mgr. Karina Vašinová Ph.D.'
Biologie a ekologie člověka I,P303,1546,'Mgr. Karina Vašinová Ph.D.'
Ekofyziologie,N051,1546,'Mgr. Karina Vašinová Ph.D.'
Obecná zoologie,K110,1546,'Mgr. Karina Vašinová Ph.D.'
"Met. analýz mat. 
využ. el. mikroskopie",AP03,1590,'RNDr. Jan Lorinčík CSc.'
Komplexní analýza materiálů,PD202,1590,'RNDr. Jan Lorinčík CSc.'
Kvantová fyzika I,P509,1590,'RNDr. Jan Lorinčík CSc.
Metody analýz materiálů,AP05,1590,'RNDr. Jan Lorinčík CSc.'
Metody molekulární biologie,N023,1986,'Mgr. Jana Čejnová
Metody molekulární biologie,ME200,1986,'Mgr. Jana Čejnová
Limnobiologie,BK108,1999,'RNDr. Blanka Desortová CSc.
Limnobiologie,P328,1999,'RNDr. Blanka Desortová CSc.'
Environmentální legislativa,P525,1999,'RNDr. Blanka Desortová CSc.'
Limnobiologie,P528,1999,'RNDr. Blanka Desortová CSc.'
Limnobiologie,K311,1999,'RNDr. Blanka Desortová CSc.'
Algologie,P420,1999,'RNDr. Blanka Desortová CSc.'
Environmentální legislativa,K507,1999,'RNDr. Blanka Desortová CSc.'
Algologie,N036,1999,'RNDr. Blanka Desortová CSc.'
Didaktika geografie I,M105,2232,'Mgr. Zuzana Pavlasová'
Didaktika geografie I,N001,2232,'Mgr. Zuzana Pavlasová'
Labor. Techniq. in Mol. and Cell Biology,E121,2441,'Mgr. Alena Semerádtová Ph.D.
Microscopy Techniques in Biology,E120,2441,'Mgr. Alena Semerádtová Ph.D.
Eliminace polutantů z fluidních systémů,N021,2450,'Ing. Jaroslav Líbal CSc.'
Anglický jazyk II,K411,2591,'Mgr. Eva Havlíková'
Biologie a ekologie člověka I,P303,2757,'Mgr. Kateřina Radana Drbalová
Souvislá pedagogická praxe I SŠ,P706,2757,'Mgr. Kateřina Radana Drbalová'
VK-Česká republika a EU,0116,2758,"'doc. Dr. phil. Mgr. Lukáš Novotný Ph.D., M.A.'"
Geospatial data: sources and analysis,PD107,2787,'doc. Ing. Jan Pacina Ph.D.'
VK - Konverzace němčiny pro geografy,0130,2812,'Mgr. Tomáš Křenek Dr. Phil.'
VK-Němčina pro geografy,0126,2812,'Mgr. Tomáš Křenek Dr. Phil.'
Metody molekulární biologie,N023,2997,'RNDr. Petr Štolba'
Metody molekulární biologie,ME200,2997,'RNDr. Petr Štolba'
Medicína katastrof,P518,3066,'prof. PharmDr. Jana Žďárová-Karasová Ph.D.'
Technologie ochrany životního prostředí,P414,3175,'Ing. Stanislav Hejda Ph.D.
Toxikologie rostl. a živočišných toxinů,P534,3176,'PharmDr. Markéta Švarcová Ph.D.'
Ekotoxikologie,N109,3176,'PharmDr. Markéta Švarcová Ph.D.
Počítačová kriminalita,0141,3458,'Ing. Toni Koluch Ph.D.'
Welfare Assessment of zoo animals,E133,3796,'Ing. Petra Padalíková'
Preparace a konzervování přírodnin II,K403,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,P419,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,P416,3797,'Mgr. Ivan Táborský'
Preparace a konzervování přírodnin II,K403,3798,'Bc. Jaroslav Bažant
Preparace a konzervování přírodnin II,P419,3798,'Bc. Jaroslav Bažant
Preparace a konzervování přírodnin II,P416,3798,'Bc. Jaroslav Bažant
Funkce a struktura buněčných membrán,0088,4175,'RNDr. Hana Sychrová DrSc.'
Základy receptorové neurofyziologie,0089,4176,'RNDr. Viktorie Vlachová DrSc.'
Základy bioinženýrství,0090,4177,'MUDr. Lucie Bačáková CSc.'
Modelování podnikových procesů,0160,4190,'Ing. Libor Měsíček Ph.D.'
Počítačové sítě a protokoly,PSP,4195,'Ing. Václav Valenta'
Fyziologie a mol. bio. eukar. buňky I,N016,4208,'prof. RNDr. Zdeněk Fišar CSc.
Úvod do fyziky,P112,4221,'Mgr. Robert Švarc Ph.D.'
Matematika I,P106,4221,'Mgr. Robert Švarc Ph.D.'
Kvantová fyzika I,P509,4221,'Mgr. Robert Švarc Ph.D.'
Matematika I,K106,4221,'Mgr. Robert Švarc Ph.D.'
Neziskový sektor a regionální rozvoj,0150,4227,'Mgr. Petr Bláha Ph.D.'
Fyzikálně chemická cvičení,P527,4258,'Ing. Marek Došek
Laboratorní cvičení z fyzikální chemie,P532,4258,'Ing. Marek Došek
Fyzikálně chemická cvičení,K502,4258,'Ing. Marek Došek
Fyzikálně chemická cvičení,P517,4258,'Ing. Marek Došek
PVK - Fyzikálně chemická cvičení A,P506,4258,'Ing. Marek Došek
Moderní elektroanal. met. - prakt. kurz,N029,4258,'Ing. Marek Došek'
Vybrané kapitoly z geografie krajiny,0152,4302,'RNDr. Eva Berrová'
Anglický jazyk A,K100,4380,'Mgr. Jaroslava Jelínková Ph.D.
Explantátové kultury rostlin I,N049,4390,'RNDr. Tomáš Vaněk CSc.'
Právní aspekty vzdělávání a předpisy,N005,4581,'Mgr. Marcela Prokůpková'
Právní aspekty vzdělávání a předpisy,KN46,4581,'Mgr. Marcela Prokůpková'
Information Security,0177,4685,'Hoon Ko Ph.D.'
Mikroprocesory a senzory v praxi II,0171,4746,'Ing. Jiří Šretr'
Mikroprocesory a senzory v praxi I,0164,4746,'Ing. Jiří Šretr'
Scientific inquiry and reasoning,PD101,4747,'doc. Ing. Lenka Slavíková Ph.D.'
Fyzikálně chemická cvičení,P517,4757,'Dr. Magdaléna Hromadová Ph.D.
Automatické řízení,AUC,5039,'doc. Ing. Mgr. Petr Klán CSc.'
Chemické a biologické ohrožení,N020,5062,'Ing. Jaroslav Procházka'
Ochrana přírody,P312,5131,'Ing. Johana Jackovičová Ph.D.'
Praktikum validace analytických metod,M208,5135,'Ing. Jitka Tolaszová Ph.D.
Fyzika pevných látek I,P839,5201,'doc. RNDr. Jiří Pavluch CSc.'
Fyzika pevných látek I,P861,5201,'doc. RNDr. Jiří Pavluch CSc.'
Metody geografického výzkumu krajiny,M203,5240,'Mgr. Ladislav Bobr
Životní prostředí a udržitelný rozvoj,B401,5240,'Mgr. Ladislav Bobr
Terénní cvičení ze SG,M312,5240,'Mgr. Ladislav Bobr
English for Science,E403,5240,'Mgr. Ladislav Bobr'
Lokální a regionální rozvoj,M101,5240,'Mgr. Ladislav Bobr
Životní prostředí a udržitelný rozvoj,BK401,5240,'Mgr. Ladislav Bobr
Srovnávací anatom. a morfol. obratlovců,N060,5472,'RNDr. Michal Němec Ph.D.'
Zoologické terénní cvičení,KB427,5472,'RNDr. Michal Němec Ph.D.'
Ornitologie,MA205,5472,'RNDr. Michal Němec Ph.D.'
Zoologické terénní cvičení,PB427,5472,'RNDr. Michal Němec Ph.D.'
Anglický jazyk A,K100,5754,'Mgr. Vladimír Lorenc'
"Biomedicínské mat.- přípr., char., a vl.",P328,5854,'doc. Ing. Andrey Shukurov Ph.D.'
Identif. a hodnocení ekosystém. služeb,M317,5886,'Ing. Jiří Louda Ph.D.
Geografie a dědictví krajiny,0156,5924,'Jakub Jelen'
Environmental Biotechnology,M303,5927,'prof. Valentyna Pidlisniuk DrSc.'
Základy financí,ZFIN,6120,'Ing. Lucie Kopáčková
Nekovové anorganické materiály,AMAT,6886,'Ing. Pavlína Hájková Ph.D.'
Nekovové anorganické materiály,AMAT,6886,'Ing. Pavlína Hájková Ph.D.'
Úvod do modelování průmyslových procesů,M211,7307,'Ing. Martin Kantor Ph.D.'
"Odběr, příprava a analýza vzorků",N112,7416,'Ing. Hana Burdová
Přípr. a využití nanovlákenných struktur,PD55,7805,'Ing. Marcela Munzarová Ph.D.'
Souvislá pedagogická praxe I - SŠ,P707A,8021,'PaedDr. Milan Kubiatko PhD.'
Doučování,DOUC,8021,'PaedDr. Milan Kubiatko PhD.
Didaktika biologie I,P108,8021,'PaedDr. Milan Kubiatko PhD.'
Didaktika biologie II,P208,8021,'PaedDr. Milan Kubiatko PhD.'
Souvislá pedagogická praxe II - SŠ,P707B,8021,'PaedDr. Milan Kubiatko PhD.'
Průběžná pedagogická praxe,P705,8021,'PaedDr. Milan Kubiatko PhD.'
Kompozity nanočástic kovů a jejich oxidů,PD12,8074,'Ing. Darina Smržová Ph.D.'
Nanokompozitní materiály na bázi uhlíku,PD08,8075,'Ing. Petra Ecorchard Ph.D.'
Apl. biologie prokaryot. a eukaryot. m.,ME301,8154,'RNDr. Pavel Branny CSc.
Biologie půdních mikroorganismů,M101,8154,'RNDr. Pavel Branny CSc.'
Kvantová mechanika,KM,8310,'Mgr. David Kofroň Ph.D.
Kvantová mechanika,KKM,8310,'Mgr. David Kofroň Ph.D.
Microscopy Techniques in Biology,E120,8316,'Mgr. David Poustka
Algoritmizace a programování II,APR2,8514,'Ricardo Rodriguez Jorge Ph.D.
Data Mining Techniq. based on R Software,EDMR,8514,'Ricardo Rodriguez Jorge Ph.D.'
Algoritmizace a programování I,APR1,8514,'Ricardo Rodriguez Jorge Ph.D.
Data Analysis and Visualisation,EDAV,8514,'Ricardo Rodriguez Jorge Ph.D.
Python and R for Data Science,EPYR,8514,'Ricardo Rodriguez Jorge Ph.D.
Machine Learning Based on R Software,EMLR,8514,'Ricardo Rodriguez Jorge Ph.D.'
Základy matematiky,P103,8677,'Mgr. Jiří Rozkovec'
Pravděpodobnost a statistika I,K413,8677,'Mgr. Jiří Rozkovec'
Vybrané partie z matematiky,P232,8677,'Mgr. Jiří Rozkovec'
Podniková ekonomika,PEK,8749,'Ing. Václav Petržíla
Pravděpodobnost a statistika II,K512,8750,'Mgr. Bc. Lukáš Tichý'
Objektově orientované návrhové vzory,OONV,8753,'Mgr. Roman Saňa'
Objektově orientované návrhové vzory,KOONV,8753,'Mgr. Roman Saňa'
